"FullName","Name","CreationTime","LastWriteTime","Length","Attributes"
"F:\$DESCRIPTION_510","$DESCRIPTION_510","6/10/2026 9:15:55 AM","6/10/2026 9:15:55 AM",,"Hidden, Directory"
"F:\$Net_Worth-179.png","$Net_Worth-179.png","8/24/2014 8:00:00 AM","8/24/2014 8:00:00 AM","146023","Hidden, Archive"
"F:\7Valuation_Budget-118.xlsx","7Valuation_Budget-118.xlsx","8/24/2014 8:00:00 AM","8/24/2014 8:00:00 AM","5079","Hidden, Archive"
"F:\9Assets_Amortization-904.csv","9Assets_Amortization-904.csv","8/24/2014 8:00:00 AM","8/24/2014 8:00:00 AM","3403","Hidden, Archive"
"F:\$DESCRIPTION_510\1Description-Loans_667.csv","1Description-Loans_667.csv","8/24/2014 8:00:00 AM","8/24/2014 8:00:00 AM","3402","Hidden, Archive"
"F:\$DESCRIPTION_510\2Cash-834.png","2Cash-834.png","8/24/2014 8:00:00 AM","8/24/2014 8:00:00 AM","146035","Hidden, Archive"
"F:\$DESCRIPTION_510\5Annuity-Backup_45.xlsx","5Annuity-Backup_45.xlsx","8/24/2014 8:00:00 AM","8/24/2014 8:00:00 AM","5087","Hidden, Archive"
"F:\Bids and Proposals\2Summary-Loans_492.csv","2Summary-Loans_492.csv","8/24/2014 8:00:00 AM","8/24/2014 8:00:00 AM","3403","Hidden, Archive"
"F:\Bids and Proposals\About_KLD\1Loans_230.csv","1Loans_230.csv","8/24/2014 8:00:00 AM","8/24/2014 8:00:00 AM","3404","Hidden, Archive"
"F:\Bids and Proposals\About_KLD\3Description-524.pdf","3Description-524.pdf","8/24/2014 8:00:00 AM","8/24/2014 8:00:00 AM","2213","Hidden, Archive"
"F:\Bids and Proposals\About_KLD\Baker\Cut Sheets\#Loans-244.jpg","#Loans-244.jpg","8/24/2014 8:00:00 AM","8/24/2014 8:00:00 AM","102015","Hidden, Archive"
"F:\Bids and Proposals\About_KLD\Baker\Cut Sheets\3Cash-EBITDA-762.csv","3Cash-EBITDA-762.csv","8/24/2014 8:00:00 AM","8/24/2014 8:00:00 AM","3401","Hidden, Archive"
"F:\Bids and Proposals\About_KLD\Baker\Cut Sheets\8Annuity-668.xlsx","8Annuity-668.xlsx","8/24/2014 8:00:00 AM","8/24/2014 8:00:00 AM","5078","Hidden, Archive"
"F:\Bids and Proposals\Past_Proposals\Cashin","Cashin","11/2/2023 2:01:47 PM","10/20/2022 9:10:02 AM",,"Directory"
"F:\Bids and Proposals\Past_Proposals\MnDOT ITS CAV Master Contract with ICF","MnDOT ITS CAV Master Contract with ICF","11/2/2023 2:04:23 PM","1/12/2023 7:52:48 AM",,"Directory"
"F:\Bids and Proposals\Past_Proposals\1334 NYNJ FWC26 LOC\Contract","Contract","3/10/2025 9:41:34 AM","3/10/2025 2:21:30 PM",,"Directory"
"F:\Bids and Proposals\Past_Proposals\1337 WAS Commanders\Contracts","Contracts","7/24/2025 2:43:00 PM","11/10/2025 10:12:53 PM",,"Directory"
"F:\Bids and Proposals\Past_Proposals\1337 WAS Commanders\Contracts\SS\(01B) Arup Consulting Standard Contract.docx","(01B) Arup Consulting Standard Contract.docx","7/24/2025 2:43:31 PM","6/25/2025 10:22:54 AM","119769","Archive"
"F:\Bids and Proposals\Past_Proposals\1339 - Phil Arena\Contract","Contract","7/31/2025 11:42:33 AM","8/20/2025 4:24:56 PM",,"Directory"
"F:\Bids and Proposals\Past_Proposals\3_Project Database\Additional Info & Projects to add\Job Numbers & Description.xlsx","Job Numbers & Description.xlsx","11/6/2016 2:53:34 PM","2/15/2013 11:39:51 AM","31970","Archive"
"F:\Bids and Proposals\Past_Proposals\601_NYCDOT_ACDSS_Staten_Island\Invoicing\Contract numbers.docx","Contract numbers.docx","11/8/2013 9:37:30 AM","11/8/2013 9:39:39 AM","16170","Archive"
"F:\Bids and Proposals\Past_Proposals\730_ACDSS_Arcadia\Contractual Documents","Contractual Documents","11/2/2023 1:54:03 PM","8/15/2016 10:19:49 AM",,"Directory"
"F:\Bids and Proposals\Past_Proposals\730_ACDSS_Arcadia\2023 Discussions with City and TransCore\Contractual","Contractual","11/2/2023 1:54:03 PM","9/18/2023 12:54:25 PM",,"Directory"
"F:\Bids and Proposals\Past_Proposals\770 ACDSS_SaudiArabia\Contracts","Contracts","11/2/2023 1:54:17 PM","1/25/2024 10:19:59 PM",,"Directory"
"F:\Bids and Proposals\Past_Proposals\770 ACDSS_SaudiArabia\2023 Supplemental Tasks\Original Full Scope\2 - ACDSS Maintenance and Support\Previously Submitted\Riyadh ATCS TransSuite and ACDSS Maintenance Contract rev 011322 RR_MMR to KLD.docx","Riyadh ATCS TransSuite and ACDSS Maintenance Contract rev 011322 RR_MMR to KLD.docx","3/15/2023 10:27:11 AM","1/17/2022 12:18:30 PM","1456313","Archive"
"F:\Bids and Proposals\Past_Proposals\770 ACDSS_SaudiArabia\2023 Supplemental Tasks\Reduced Scope\2 - ACDSS Maintenance and Support\Previously Submitted\Maintenance\Riyadh ATCS TransSuite and ACDSS Maintenance Contract rev 011322 RR_MMR to KLD.docx","Riyadh ATCS TransSuite and ACDSS Maintenance Contract rev 011322 RR_MMR to KLD.docx","5/12/2023 10:43:00 AM","1/17/2022 12:18:30 PM","1456313","Archive"
"F:\Bids and Proposals\Past_Proposals\770 ACDSS_SaudiArabia\770.2 - Software Maintenance\Software Maintenance Support Proposal\Riyadh ATCS TransSuite and ACDSS Maintenance Contract rev 011322 RR_MMR to KLD.docx","Riyadh ATCS TransSuite and ACDSS Maintenance Contract rev 011322 RR_MMR to KLD.docx","1/17/2022 12:18:29 PM","1/17/2022 12:18:30 PM","1456313","Archive"
"F:\Bids and Proposals\Past_Proposals\770 ACDSS_SaudiArabia\770.4_770.5 - RRU and METRO\From Prime Contract","From Prime Contract","3/21/2024 5:31:47 PM","3/14/2024 8:43:08 AM",,"Directory"
"F:\Bids and Proposals\Past_Proposals\770 ACDSS_SaudiArabia\770.4_770.5 - RRU and METRO\Invoicing\Accruals\KLD_WIP_full_contract_v2.xlsx","KLD_WIP_full_contract_v2.xlsx","4/19/2024 2:13:38 PM","4/19/2024 2:13:38 PM","29517","Archive"
"F:\Bids and Proposals\Past_Proposals\770 ACDSS_SaudiArabia\Contracts\ATCS_Riyadh_Subcontract Agreement KLD Rev0.docx","ATCS_Riyadh_Subcontract Agreement KLD Rev0.docx","5/18/2015 5:15:24 PM","5/19/2015 9:56:23 PM","240595","Archive"
"F:\Bids and Proposals\Past_Proposals\770 ACDSS_SaudiArabia\Contracts\ATCS_Riyadh_Subcontract Agreement KLD.docx","ATCS_Riyadh_Subcontract Agreement KLD.docx","5/15/2015 4:56:06 PM","5/15/2015 5:21:18 PM","240600","Archive"
"F:\Bids and Proposals\Past_Proposals\770 ACDSS_SaudiArabia\Contracts\ATCS_Riyadh_Subcontract Agreement KLD_Draft Final (31-Mar-15) 2015-05-05.docx","ATCS_Riyadh_Subcontract Agreement KLD_Draft Final (31-Mar-15) 2015-05-05.docx","5/5/2015 10:32:37 PM","5/5/2015 10:37:06 PM","260829","Archive"
"F:\Bids and Proposals\Past_Proposals\770 ACDSS_SaudiArabia\Contracts\ATCS_Riyadh_Subcontract Agreement KLD_Draft Final (31-Mar-15) RR 042115.docx","ATCS_Riyadh_Subcontract Agreement KLD_Draft Final (31-Mar-15) RR 042115.docx","5/5/2015 9:48:06 PM","5/5/2015 9:48:00 PM","82177","Archive"
"F:\Bids and Proposals\Past_Proposals\770 ACDSS_SaudiArabia\Contracts\ATCS_Riyadh_Subcontract Agreement KLD_Draft Final (31-Mar-15).docx","ATCS_Riyadh_Subcontract Agreement KLD_Draft Final (31-Mar-15).docx","4/7/2015 11:10:30 AM","4/7/2015 11:10:00 AM","81315","Archive"
"F:\Bids and Proposals\Past_Proposals\770 ACDSS_SaudiArabia\Contracts\ATCS_Riyadh_Subcontract Agreement KLD_Draft V0_0 KLD Notes WRM.docx","ATCS_Riyadh_Subcontract Agreement KLD_Draft V0_0 KLD Notes WRM.docx","12/22/2014 7:48:35 AM","12/22/2014 7:48:35 AM","67451","Archive"
